name,symbol,market_cap_rank,usd_score,btc_score,quadrant,pct_1h,pct_24h,pct_7d,pct_1h_btc,pct_24h_btc,pct_7d_btc,price_usd,price_btc,market_cap,volume_usd
Stellar,XLM,23,0.6944619505732412,1.0586755457927355,A 強×強（本命）,0.6708921287459079,-2.6043464857859835,-14.905051938720714,1.1164722395686797,2.5473750198152256,-4.98835495020912,0.270126,2.67e-06,8665331001,373726760
Monero,XMR,33,0.5978584962202147,0.7847297072244765,A 強×強（本命）,0.25932708373518254,-1.8321864014143887,0.4334201191467697,0.708400866755701,3.312566669309834,12.259501494700196,338.65,0.00334625,6255168766,212404556
Figure Heloc,FIGR_HELOC,12,0.9394850184404675,0.7199188046696231,A 強×強（本命）,0.0,2.7805593682242296,0.3412009215988426,0.24613386146774568,8.246483816503192,12.040561559950175,1.033,1.021e-05,13890293673,24365592
TRON,TRX,9,0.6448319902006836,0.7104250802765006,A 強×強（本命）,-0.05132175778298031,1.4182440321242602,-3.2060449955648718,0.38534757294734445,6.874366459145527,8.074017381432817,0.285227,2.82e-06,26997549706,1638055010
Zcash,ZEC,28,0.9467111633714785,0.6480200681217451,A 強×強（本命）,-0.6780252138933032,3.917610743165593,37.05678687889437,-0.23841555516757462,9.438337283206295,52.99366117793161,441.3,0.00436029,7221560674,2645858389
Litecoin,LTC,32,0.5781412736542418,0.5926577875302479,A 強×強（本命）,0.44326109586628004,-1.9806537629565726,-12.087676904599274,0.6840073386445873,3.2095051401234596,-1.6337640287945017,85.53,0.00084516,6541767461,1049650540
Hyperliquid,HYPE,16,0.3848693704544809,0.5716105675775561,A 強×強（本命）,0.4237748808573161,-2.446779884671344,-18.95599197591522,0.7692638732818612,2.741151900428132,-9.316789836244256,38.98,0.00038518,10550072333,1125054233
Shiba Inu,SHIB,34,0.4237484197547028,0.4438051758488524,A 強×強（本命）,0.41177047946621587,-2.8770168473282527,-11.99507207934372,0.653605156183066,2.260281819934586,-1.726238453087105,8.88e-06,8.7704e-11,5232053167,298809484
Ethereum,ETH,2,-0.1732664782911874,0.027121131324936473,C 弱×強（BTC重・アルト優勢）,0.640346210678276,-8.825745854008167,-17.606363389689886,0.881564834583785,-3.997711308471694,-7.987425581504411,3280.08,0.03241089,395721224340,70271279007
XRP,XRP,4,-0.20520476034185653,0.013787659045671195,C 弱×強（BTC重・アルト優勢）,0.017569880560770093,-4.096956719873781,-14.875332078417646,0.4545401944170342,1.0328081052909184,-4.942580890152664,2.21,2.185e-05,132918611944,9117244955
Hedera,HBAR,29,-0.12448576075706624,-0.2856468445698756,D 弱×弱（様子見）,0.06291278896262911,-3.8910821268992186,-14.147103897700342,0.21378840369774044,1.2201421416823202,-4.159126414132093,0.168542,1.67e-06,7162251011,482485639
Dogecoin,DOGE,10,-0.33529295307698354,-0.3533859647369337,D 弱×弱（様子見）,-0.3085387058490005,-2.3341520729613876,-15.612143442773135,0.03443090026977456,2.8597693186684237,-5.67543455074926,0.162571,1.61e-06,24651612885,4474610491
BNB,BNB,5,-0.3786201294415507,-0.398171737800035,D 弱×弱（様子見）,0.032488126029337504,-5.456136742832605,-15.01095650758385,0.2726880772516263,-0.42824414535505295,-5.0890213028398,935.88,0.00924754,128855912492,5071631800
Cardano,ADA,11,-0.44519902355247354,-0.4347755381071255,D 弱×弱（様子見）,0.04612875030242909,-5.542087354193521,-19.221487886408674,0.2859231311137196,-0.44539949058290085,-9.724735082633307,0.521479,5.15e-06,19061382368,2010015815
Chainlink,LINK,17,-0.2503670639082513,-0.44131533184904864,D 弱×弱（様子見）,-0.06858594310774216,-3.43025694422747,-17.104806374890995,0.08345832593780486,1.6834899122073137,-7.418430344304795,14.72,0.00014546,10260825338,1636357834
Solana,SOL,6,-0.5334202650378886,-0.5971514985399046,D 弱×弱（様子見）,0.13150596088232497,-6.816555086048714,-20.269993408969363,0.28220462685504893,-1.803450309150129,-10.966716966975183,154.56,0.00152713,85301549523,11426736183
Bitcoin,BTC,1,-0.6315975523403465,-0.6084204201247244,D 弱×弱（様子見）,-0.3742077204094759,-4.992812233103927,-10.419342451946312,0.0,0.0,0.0,101223.0,1.0,2017966302299,112039740704
Avalanche,AVAX,31,-0.656291744234686,-0.8031154960104627,D 弱×弱（様子見）,-0.39529487931942486,-3.6993958630619437,-18.093200146076462,-0.15540396267372703,1.3947472212187584,-8.356216514705174,16.02,0.00015827,6842818649,857853962
Sui,SUI,27,-0.7227879670636299,-0.8412255455315132,D 弱×弱（様子見）,-0.35569148241258486,-4.196436446130343,-20.806223088209773,-0.12169540507124907,0.9516969274068998,-11.565516476015869,1.98,1.955e-05,7285793655,2050723722
Bitcoin Cash,BCH,18,-0.8120364435250669,-0.8660056090441964,D 弱×弱（様子見）,-0.5137664228537864,-4.417902724599413,-13.702639760237794,-0.17677172629596777,0.6378911257112246,-3.585130390316322,481.08,0.00475338,9598496538,390953090
