name,symbol,market_cap_rank,usd_score,btc_score,quadrant,pct_1h,pct_24h,pct_7d,pct_1h_btc,pct_24h_btc,pct_7d_btc,price_usd,price_btc,market_cap,volume_usd
Cardano,ADA,10,0.821875668992808,0.8904472719194335,A 強×強（本命）,0.16876896020236826,-3.9344158830817793,19.36491058172892,0.2219523230086787,-1.8411437976954086,17.023483685024868,0.949583,7.98e-06,34470732033,5484043644
Bitcoin,BTC,1,0.7151213063100627,0.7462534577554419,A 強×強（本命）,-0.020279765175339068,-2.1064804572525553,2.0486938430208084,0.0,0.0,0.0,118976.0,1.0,2368798553641,66609660489
Ethereum,ETH,2,0.7767625551844228,0.6873706003265231,A 強×強（本命）,-0.31019794304742465,-2.450020748769258,19.110399740563928,-0.25726888176495694,-0.3244036469349723,16.712749927485334,4638.43,0.03898407,559578241876,57420077287
TRON,TRX,11,0.5187144571354049,0.573096736768679,A 強×強（本命）,-0.10561862071139554,-2.726333395413249,6.167803413569298,-0.05258094058060354,-0.6067371547997312,4.173625192969024,0.358781,3.02e-06,33971348678,2605599957
Dogecoin,DOGE,9,0.09328579339362218,0.21252654409047503,A 強×強（本命）,-0.0909681794003535,-4.160539580615825,3.687996039439435,-0.03792272079984061,-2.072194737677876,1.6007937056050165,0.231197,1.94e-06,34771425871,6172072553
BNB,BNB,5,0.1628529801237692,0.04491838838255155,A 強×強（本命）,-0.7003346972694808,-1.9731585419796633,7.577576908451493,-0.6476127742473751,0.1628494022694552,5.412078700672773,846.0,0.00711025,117876646711,5114794758
XRP,XRP,3,-0.3386142361954079,-0.18782523321206315,D 弱×弱（様子見）,-0.33360647687818346,-3.8529666511354566,-6.840023434942603,-0.2585535933681177,-1.756014736341631,-8.715300496258264,3.11,2.614e-05,184463451772,10289255393
Litecoin,LTC,25,-0.600563070157746,-0.3947593315982066,D 弱×弱（様子見）,-0.21688859889569742,-5.838748066964159,-0.8616402979409549,-0.14030538188290362,-3.7869714394825866,-2.857260076955181,121.17,0.00101834,9226789127,1219912380
Avalanche,AVAX,23,-0.20076638190548482,-0.5077524017872553,D 弱×弱（様子見）,-1.2674275661549113,-1.0604091311449095,6.271544703546867,-1.2469390664142208,1.0954876513412921,4.17001519336214,24.87,0.00020906,10505992847,1580321183
Chainlink,LINK,14,-0.5496967601304137,-0.5712240234049425,D 弱×弱（様子見）,-0.6582610316901205,-5.621019233324258,15.731629115322452,-0.5834526263799734,-3.615305587391092,13.540579591266106,22.35,0.00018788,15159279361,1871059612
Polkadot,DOT,34,-0.6700166322886351,-0.6240143838358228,D 弱×弱（様子見）,-0.5285560711907127,-5.277546926431355,2.752538785427921,-0.49039097589351044,-3.2116648869317435,0.684006445193173,4.0,3.366e-05,6092018716,525921656
Solana,SOL,6,-0.7566113732994694,-0.8966933182418804,D 弱×弱（様子見）,-0.9506105195747792,-4.9053486349008635,11.275537072436622,-0.9300377584058909,-2.833233204573147,9.035600247079065,195.03,0.00163915,105196167302,13215429092
