rank,name,symbol,price,pct_1h,pct_24h,pct_7d,pct_1h_vs_btc,pct_24h_vs_btc,pct_7d_vs_btc,market_cap_rank,market_cap,volume_usd,score
1,Dogecoin,DOGE,0.228056,1.6927158603017418,5.619191616560653,5.562221705632612,1.49222615857874,4.598975734437072,3.3265530370789906,9,34397354273,1697113500.0,1.8040730146947659
2,Solana,SOL,207.55,1.4632586988944005,3.6708617807176527,1.8627617538369112,1.2627689971713987,2.650645898594072,-0.3729069147167101,6,112495315369,3929930546.0,1.067485063622492
3,Hyperliquid,HYPE,47.27,0.7936350331685654,2.659060548846587,5.48269909102502,0.5931453314455635,1.6388446667230063,3.2470304224713984,17,12777481827,185810404.0,0.4839229676344315
4,XRP,XRP,2.88,0.8593477062896929,2.825342868537329,2.9358848570147598,0.658858004566691,1.8051269864137485,0.7002161884611384,3,171925847971,3660788090.0,0.47008715982414073
5,TRON,TRX,0.330483,0.1327945634071936,6.6124714601118875,-3.4851362996970074,-0.06769513831580834,5.592255577988307,-5.720804968250629,10,31282646061,1585902043.0,0.3785750000185583
6,Litecoin,LTC,114.69,0.5290262808495308,2.651273117342156,3.7879996488339187,0.3285365791265289,1.6310572352185755,1.5523309802802974,28,8749781597,359944497.0,0.19954475333957933
7,Avalanche,AVAX,24.69,0.6926037868380508,1.4105433666663045,4.176849137286053,0.49211408511504884,0.3903274845427238,1.9411804687324312,23,10424882221,275733996.0,0.08978683130623753
8,Shiba Inu,SHIB,1.248e-05,0.7163959636056956,2.0613749833290886,0.8193419740214619,0.5159062618826936,1.041159101205508,-1.4163266945321595,31,7354534969,124734372.0,0.08860166909452014
9,Sui,SUI,3.4,0.48196918827211505,2.258767961552765,3.5575743047848265,0.28147948654911314,1.2385520794291844,1.3219056362312052,19,12152617082,564611382.0,0.07271011698564928
10,Stellar,XLM,0.361504,0.8489257225799801,1.3265950275270189,0.6924137039049988,0.6484360208569782,0.30637914540343814,-1.5432549646486224,22,11459768500,176973101.0,0.035656984863654206
11,Chainlink,LINK,22.51,1.153327263595687,1.275251628110378,-5.032966604935117,0.9528375618726851,0.25503574598679735,-7.268635273488739,13,15272237556,446660488.0,0.0035914927501224814
12,Cardano,ADA,0.834867,0.4811676739044212,2.167885084209966,1.8574441797088819,0.2806779721814193,1.1476692020863855,-0.37822448884473947,11,30473775437,994338426.0,-0.02186548186614989
13,Bitcoin Cash,BCH,603.85,0.08215800677086409,1.6880571683593741,10.347298909014466,-0.11833169495213784,0.6678412862357934,8.111630240460844,20,12029855787,174281085.0,-0.04955793023713552
14,Hedera,HBAR,0.219687,0.350796838083042,2.654001233658534,-1.8179590751145815,0.1503071363600401,1.6337853515349532,-4.053627743668203,25,9315942706,127477764.0,-0.19498615770578112
15,BNB,BNB,876.33,0.30774069491651224,1.981669774252368,1.472215356398561,0.10725099319351031,0.9614538921287872,-0.7634533121550604,5,121958720730,856367340.0,-0.21361805788647115
16,World Liberty Financial,WLFI,0.227755,-0.6996351556477106,6.100633518186298,0.0,-0.9001248573707126,5.080417636062717,-2.2356686685536213,33,6217674630,1146970077.0,-0.2198071487743278
17,Ethereum,ETH,4316.42,0.5680040180581188,0.9681571808039389,-3.427544138933126,0.3675143163351169,-0.052058701319641854,-5.663212807486747,2,520868761675,13715771962.0,-0.39392996719245205
18,Bitcoin,BTC,111302.0,0.20048970172300193,1.0202158821235807,2.2356686685536213,0.0,0.0,0.0,1,2216584448992,21594745683.0,-0.4070431644175757
19,Toncoin,TON,3.1,0.11380797407034335,1.354214005967219,-2.616774857344096,-0.08668172765265858,0.33399812384363825,-4.852443525897717,30,7957073787,72976097.0,-0.6833665047017081
20,Figure Heloc,FIGR_HELOC,1.0,0.0,0.0,0.0,-0.20048970172300193,-1.0202158821235807,-2.2356686685536213,18,12312684309,18860.0,-0.931549160300922
21,Cronos,CRO,0.261616,0.32241891636428477,-2.19371931895591,-11.164720906014493,0.12192921464128284,-3.2139352010794906,-13.400389574568115,27,8810406159,75180532.0,-1.6376199113439949
