rank,name,symbol,price_btc,price_usd,pct_1h_btc,pct_24h_btc,pct_7d_btc,market_cap_rank,market_cap_usd,volume_usd,score
1,XRP,XRP,2.162e-05,2.31,0.5035545604710583,-0.31760616619793625,-6.244116438681504,5,138191850469,8058628051,0.9111953487910649
2,Ethereum,ETH,0.03591419,3830.41,0.2630537310176087,-0.10494575763681246,3.229970752002821,2,462640404423,54279271401,0.8244906564085628
3,Hyperliquid,HYPE,0.00033268,35.48,0.8587671403385625,-4.693299811477769,-7.8841556239628545,20,9621603039,820673314,0.7957164428329129
4,Figure Heloc,FIGR_HELOC,9.78e-06,1.043,-0.21393007102246828,3.3002344167432183,12.52499348943757,13,13639804078,125409925,0.7367781794009288
5,Litecoin,LTC,0.00084903,90.56,0.2758132772489991,0.3536270149260229,-20.18752115711229,30,6922882698,1119538565,0.4496514482487369
6,Bitcoin,BTC,1.0,106626.0,0.0,0.0,0.0,1,2126569150753,100121659532,0.4457509387008317
7,USDT0,USDT0,9.38e-06,1.0,-0.2680878830749886,1.600462223999736,10.304421943125734,28,7724250206,690497408,0.4168437593084519
8,Solana,SOL,0.00172397,183.93,-0.016275228332246944,-0.9895615848992872,-3.3404169127079353,6,100859017330,11221293594,0.2007135870399318
9,TRON,TRX,2.9e-06,0.309148,-0.12149685074268962,-0.9094073229790531,3.6636192894007276,9,29266310086,1158662821,0.18270850914198977
10,Stellar,XLM,2.88e-06,0.307699,-0.009152975757006087,-0.6317632309097448,-7.350852114934623,19,9851340086,371345398,0.1740819822499812
11,Hedera,HBAR,1.52e-06,0.162608,0.4351167121342476,-4.933285828819833,-12.526521339245686,31,6898072007,413063538,0.13128754627465142
12,Shiba Inu,SHIB,9.131e-11,9.74e-06,0.049797265932623444,-1.896983523095754,-6.752301025558653,33,5742182307,282371128,0.10400093431762045
13,Dogecoin,DOGE,1.73e-06,0.184931,0.014246023407971008,-1.149909582804603,-13.138392217726294,10,28009622916,3454966559,0.04396277043997642
14,Cardano,ADA,5.88e-06,0.626666,0.012035976419709552,-2.1648043899912377,-11.137600965886486,11,22915609087,1986539879,-0.05234665060872682
15,Sui,SUI,2.274e-05,2.43,0.2138223288983753,-4.833454007948915,-18.70300978719537,24,8819559760,2147875851,-0.2502271538023178
16,Avalanche,AVAX,0.00018766,20.02,0.06447006363900495,-3.5941567783814765,-17.3707431402628,26,8542198396,994628233,-0.2697632975812905
17,Toncoin,TON,1.985e-05,2.12,-0.13143122093820664,-2.3807618558016697,-14.052146314851278,35,5337039990,232180076,-0.318869577413684
18,BNB,BNB,0.01005027,1071.91,-0.3880948064772223,-5.111471906472161,-3.6239847399362146,4,149214741396,5724419124,-0.8094032343196758
19,Bitcoin Cash,BCH,0.00436265,465.3,-0.099239908582892,-7.434112764540396,-10.12599974722874,21,9281022573,525773018,-0.8376690896711084
20,Chainlink,LINK,0.00015406,16.43,-0.23466197736894734,-5.674955233097654,-14.210181585917756,17,11454529105,1372532725,-0.8653310571848113
21,Monero,XMR,0.00268979,286.88,-1.150049548772431,-7.218299881351441,-3.6690086941810396,36,5292149321,195341116,-2.075123505970329
