name,symbol,market_cap_rank,usd_score,btc_score,quadrant,pct_1h,pct_24h,pct_7d,pct_1h_btc,pct_24h_btc,pct_7d_btc,price_usd,price_btc,market_cap,volume_usd
Solana,SOL,6,2.1384684376375493,2.2257053875991772,A 強×強（本命）,3.501683070998089,13.034033269837295,10.268026211952035,3.314257080607689,10.28812125749738,12.123773497388642,207.24,0.001787,111996517455,12123743255
Sui,SUI,17,1.2996551504897513,1.431399610672327,A 強×強（本命）,3.102849786667325,10.473281777951051,1.460219028706688,2.9181129900012275,7.629485525686247,2.822199932501555,3.78,3.261e-05,13160505155,2444918338
Avalanche,AVAX,23,0.9484626423247732,0.8900458664700219,A 強×強（本命）,1.7657704312053217,11.02606909532792,6.349913672199868,1.5814879176753072,8.168043026802074,8.134591546851452,25.46,0.00021952,10740090504,1093746339
Cardano,ADA,11,0.39178503543839155,0.5362728618168404,A 強×強（本命）,2.0467784382813323,8.322892812879076,-2.962243868497828,1.9403662568122124,5.5819948059995665,-1.3282148458737142,0.927859,8e-06,33868701105,3445416762
Dogecoin,DOGE,9,0.4804418771278441,0.511292264445194,A 強×強（本命）,1.6484228301415347,9.043591482463167,1.8232330250867477,1.5424260453160836,6.214198935557859,3.200304587309056,0.237205,2.05e-06,35727661598,5082169253
Ethereum,ETH,2,0.5297225560627224,0.36448370664037466,A 強×強（本命）,0.7141906030371469,10.799745592743601,7.012466185784763,0.5337337389512253,8.108110661332997,8.45971765884903,4748.4,0.04094555,572868439963,68962448266
Uniswap,UNI,30,0.2964534070381336,0.2578928094888925,A 強×強（本命）,0.9983280983031756,9.62522401113263,2.7864174198291676,0.8928130381900861,6.8749756386656715,4.517248756942402,11.31,9.753e-05,6787748282,797153255
Hedera,HBAR,22,0.18680333031320123,0.2351547665801968,A 強×強（本命）,1.4322070537365337,7.696761717745787,1.4482993988005572,1.3262387112282934,4.971706728220517,3.150722363769999,0.253877,2.19e-06,10741612183,486417494
Shiba Inu,SHIB,29,0.09071944135757043,0.13116371979361444,A 強×強（本命）,1.3595832560177181,7.087058808438115,1.928820833687441,1.2538876668757384,4.330430494294221,3.6442241021406643,1.327e-05,1.14459e-10,7814409711,452310059
Chainlink,LINK,13,0.22443780048481457,0.009072993443727223,A 強×強（本命）,0.5966475139008838,5.869193790286097,19.855359613130418,0.4144821062396925,3.2787192216838736,21.47630016274451,26.17,0.00022567,17714845662,3435574550
XRP,XRP,3,-0.18068013078238546,-0.15446514384051238,D 弱×弱（様子見）,1.223608723844597,6.441649299819849,-2.0325641760495787,1.0403079836726443,3.771381650497565,-0.707638951334269,3.05,2.63e-05,181139408075,10376505259
Litecoin,LTC,25,-0.20058527269972937,-0.1875324364227386,D 弱×弱（様子見）,1.2322583041992923,5.377176443637826,1.6686022070332958,1.049974136995239,2.6645638134907883,3.38061053573767,122.4,0.00105549,9321728143,899513884
Stellar,XLM,18,-0.24514764984351733,-0.19563862511985697,D 弱×弱（様子見）,1.0007304022043695,6.928515853038894,-2.4958633177459633,0.8954090170851527,4.245921775372373,-0.8549249316798908,0.419072,3.61e-06,13122998859,514226346
BNB,BNB,5,-0.3380484898513717,-0.36445127981422154,D 弱×弱（様子見）,0.6760266098649803,4.889913788548712,6.563549848977693,0.5710438188631108,2.3042460254672026,8.356952933736036,891.64,0.00768863,124118552474,2555977936
Hyperliquid,HYPE,15,-0.6662506407075082,-0.624324987070006,D 弱×弱（様子見）,0.7352694537267158,5.90315459819921,-7.258672342426574,0.5528530225691913,3.311849055013385,-5.697889285355097,44.37,0.0003826,14778769011,413720893
Bitcoin Cash,BCH,21,-0.6235340845122669,-0.6935757043767229,D 弱×弱（様子見）,0.2889584446400847,5.992383512459082,-0.731373375573948,0.10837283313561512,3.345686339486794,0.950775989295527,593.08,0.00511411,11811800165,364800641
Toncoin,TON,27,-1.0596796162686228,-1.0258736390722223,D 弱×弱（様子見）,0.3239924755236381,2.8689571417946067,-1.8273766523151764,0.21918190790177358,0.36998318730236257,-0.5095277500063526,3.4,2.928e-05,8712943952,303388579
Wrapped Bitcoin,WBTC,16,-1.045006222821214,-1.0455858061855319,D 弱×弱（様子見）,0.33706449206767064,2.861066085564371,-1.5494937263745623,0.15639225826574926,0.36228382684255916,0.10102734740485894,116119.0,1.001296,14746109519,411299609
Bitcoin,BTC,1,-1.1115176796238322,-1.125144518730333,D 弱×弱（様子見）,0.17397390370165414,2.5297805959356507,-1.6486842401073156,0.0,0.0,0.0,115960.0,1.0,2308381231308,53185506092
TRON,TRX,10,-1.1730496179789849,-1.232441573132904,D 弱×弱（様子見）,0.004717123383784695,1.9516403159606466,2.3923372881741076,-0.17637638731502614,-0.542977069989523,4.110602330262547,0.363323,3.13e-06,34390255662,1506983080
