rank,name,symbol,price_btc,price_usd,pct_1h_btc,pct_24h_btc,pct_7d_btc,market_cap_rank,market_cap_usd,volume_usd,score
1,BNB,BNB,0.00867255,1005.25,0.4808294312553408,1.9989625092423815,7.267962873709591,5,139779111941,1912283011,1.9262868271263973
2,Avalanche,AVAX,0.00028786,33.39,0.6752492184856606,-1.6107352787611675,9.971880870567276,17,14099044386,922944381,1.2989601090335194
3,Bitcoin,BTC,1.0,115990.0,0.0,0.0,0.0,1,2310698595536,24663745327,0.35919969314180533
4,Chainlink,LINK,0.00020069,23.28,0.49580526565664096,-2.002287282909537,-6.9257233182418565,13,15776702892,653682956,0.352413622970594
5,Bitcoin Cash,BCH,0.00517746,600.61,-0.010429248623950022,-0.09373027668132572,-0.5610371020814038,22,11968366990,265848473,0.24099405842654895
6,TRON,TRX,2.99e-06,0.346942,-0.0063917635546688065,-0.30516513779374166,-1.6879604628448057,10,32837747459,669765558,0.15330509937952894
7,Ethereum,ETH,0.03858805,4476.53,0.10695218141811842,-0.9278626483247083,-4.566570797120631,2,540229217227,19644987156,0.128607960266011
8,Solana,SOL,0.00205342,238.17,0.09509903840216563,-1.3070098377929096,-0.9377008980515528,6,129268021955,5404330914,0.07913261434664576
9,Toncoin,TON,2.67e-05,3.1,0.09524360042925621,-0.8639949671515542,-4.383960272758308,30,7881067276,102524727,0.07837207497403215
10,Shiba Inu,SHIB,1.11631e-10,1.295e-05,0.062170451191134776,-0.147849140796034,-10.556347831095996,31,7628763016,154061215,0.03517080750687966
11,Polkadot,DOT,3.764e-05,4.36,0.358151827576521,-2.8564092455160472,-3.706514585017605,34,6635309361,349356692,-0.026724849806554363
12,Hyperliquid,HYPE,0.00047718,55.36,-0.035477717517757724,-1.1337018583471141,-1.0161368565231794,15,14973205821,326856432,-0.11439915841481757
13,Litecoin,LTC,0.00098281,114.01,0.05019702193604911,-1.583973112952759,-4.671916249429009,27,8699853817,387503205,-0.2128589285825633
14,Hedera,HBAR,2.09e-06,0.242201,-0.46080519101843664,1.286073911782778,-3.5043771919133477,25,10251108202,192336201,-0.21793196261115286
15,Stellar,XLM,3.35e-06,0.388033,-0.26219692190278904,0.09470633284481388,-4.971989848087047,21,12364077221,157036772,-0.2699218486670531
16,Cardano,ADA,7.72e-06,0.895079,-0.23594047737256438,-0.5433170536090883,-4.7419959846984705,11,32681325740,1299962217,-0.39729745145189965
17,Cronos,CRO,2e-06,0.231487,-0.32249953327996705,0.16691686012701476,-8.366176150061609,29,8042597434,32804404,-0.45804883715549793
18,Sui,SUI,3.147e-05,3.65,-0.254961827840883,-0.9938790130853162,-3.8606274486217154,19,13020543177,1117827489,-0.5321502225540573
19,Figure Heloc,FIGR_HELOC,8.61e-06,0.997429,0.0,-3.482329556499682,-1.4367096219326578,20,12525585562,19543193,-0.7436911443274912
20,Dogecoin,DOGE,2.29e-06,0.265908,-0.19241419972929752,-1.5825093175073401,-10.676545796272622,8,40152392295,2333265974,-0.804003066864009
21,XRP,XRP,2.565e-05,2.97,-0.4348846223934512,-1.2038695640514452,-5.360297163796302,3,177773615821,3612611328,-0.934602754427161
